Fund Name,ABSLTR96,MOLTE,FranklinPrima,HdfcMidcap,IciciHybrid,MiraeAsset,SbiSmallCap,ParagParikh
jan19,3000,3000,2000,2000,2000,2000,2000,2000
dec18,3000,3000,2000,2000,2000,2000,2000,2000
