ISIN,Instrument Name,Industry,Security Code,Security Id,Status,Group,Face Value,Instrument
INF174K017R5,KOTAK FMP SERIES 214 - 1240 DAYS - DIRECT PLAN - GROWTH OPTION,,540867,KTKFMP214DG,Active,F,10,MF
INF174K018R3,KOTAK FMP SERIES 214 - 1240 DAYS - DIRECT PLAN - DIVIDEND OPTION,,540868,KTKFMP214DD,Active,F,10,MF
INF109KC1176,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D - Cumulative,,540869,IPRU3028,Active,F,10,MF
INF109KC1192,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D - Quarterly Dividend Payout,,540870,IPRU3029,Active,F,10,MF
INF109KC1184,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D - Half Yearly Dividend Payout,,540871,IPRU3030,Active,F,10,MF
INF109KC1200,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D - Direct Plan Cumulative,,540872,IPRU9230,Active,F,10,MF
INF109KC1226,ICICI Prudential Fixed Maturity Plan - Series 82 - 1219 Days Plan D - Direct Plan Quarterl,,540873,IPRU9231,Active,F,10,MF
INE454F01010,7Seas Entertainment Ltd,Movies & Entertainment,540874,7SEASL,Active,XT,10,Equity
INF204KB1TR9,RELIANCE FIXED HORIZON FUND - XXXV - SERIES 14 - DIRECT PLAN DIVIDEND PAYOUT OPTION,,540875,RXXXVS14G,Active,F,10,MF
INF204KB1TQ1,RELIANCE FIXED HORIZON FUND - XXXV - SERIES 14 - DIRECT PLAN GROWTH OPTION,,540876,RXXXVS14Z,Active,F,10,MF
INF204KB1TP3,RELIANCE FIXED HORIZON FUND - XXXV - SERIES 14 - DIVIDEND PAYOUT OPTION,,540877,RXXXVS14D,Active,F,10,MF
INF204KB1TO6,RELIANCE FIXED HORIZON FUND - XXXV - SERIES 14 - GROWTH OPTION,,540878,RXXXVS14X,Active,F,10,MF
INE713T01010,Apollo Micro Systems Ltd,Defence,540879,APOLLO,Active,B,10,Equity
INF740KA1DS3,DSP BLACKROCK - FMP - SERIES 218 - 40M - REGULAR GROWTH,,540880,D40MS218RG,Active,F,10,MF
INF740KA1DT1,DSP BLACKROCK - FMP - SERIES 218 - 40M - REGULAR DIVIDEND PAYOUT,,540881,D40MS218RR,Active,F,10,MF
INF740KA1DU9,DSP BLACKROCK - FMP - SERIES 218 - 40M - REGULAR DIVIDEND QTRLY PAYOUT,,540882,D40MS218RQ,Active,F,10,MF
INF740KA1DV7,DSP BLACKROCK - FMP - SERIES 218 - 40M - DIRECT  GROWTH,,540883,D40MS218DG,Active,F,10,MF
INF740KA1DW5,DSP BLACKROCK - FMP - SERIES 218 - 40M - DIRECT DIVIDEND PAYOUT,,540884,D40MS218DR,Active,F,10,MF
INF740KA1DX3,DSP BLACKROCK - FMP - SERIES 218 - 40M - DIRECT DIVIDEND QTRLY PAYOUT,,540885,D40MS218DQ,Active,F,10,MF
INF109KC1275,ICICI Prudential FMP - Series 82 - 1223 Days Plan E - Cumulative Option,,540886,IPRU3031,Active,F,10,MF
INF109KC1291,ICICI Prudential FMP - Series 82 - 1223 Days Plan E - Quarterly Dividend Option,,540887,IPRU3032,Active,F,10,MF
INF109KC1283,ICICI Prudential FMP - Series 82 - 1223 Days Plan E - Half Yearly Dividend Option,,540888,IPRU3033,Active,F,10,MF
INF109KC1309,ICICI Prudential FMP - Series 82 - 1223 Days Plan E -  Direct Plan Cumulative Option,,540889,IPRU9233,Active,F,10,MF
INF109KC1325,ICICI Prudential FMP - Series 82 - 1223 Days Plan E - Direct Plan Quarterly Dividend  Option,,540890,IPRU9234,Active,F,10,MF
INF109KC1317,ICICI Prudential FMP - Series 82 - 1223 Days Plan E - Direct Plan Half Yearly Dividend Option,,540891,IPRU9235,Active,F,10,MF
INF204KB1TV1,RELIANCE FIXED HORIZON FUND XXXV- SR 15-DIRECT PLAN-DIVIDEND PAYOUT OPTION,,540892,RXXXVS15G,Active,F,10,MF
INF204KB1TU3,RELIANCE FIXED HORIZON FUND XXXV- SR 15-DIRECT PLAN-GROWTH OPTION,,540893,RXXXVS15Z,Active,F,10,MF
INF204KB1TT5,RELIANCE FIXED HORIZON FUND XXXV- SR 15- DIVIDEND PAYOUT OPTION,,540894,RXXXVS15D,Active,F,10,MF
INF204KB1TS7,RELIANCE FIXED HORIZON FUND XXXV- SR 15- GROWTH OPTION,,540895,RXXXVS15X,Active,F,10,MF
INF204KB1TJ6,RELIANCE CAPITAL BUILDER FUND IV -SERIES D - DIRECT DIVIDEND PLAN DIVIDEND PAYOUT,,540896,RCBFIVDDD,Active,B,10,Equity
INF204KB1TG2,RELIANCE CAPITAL BUILDER FUND IV - SERIES D - GROWTH PLAN GROWTH,,540897,RCBFIVDG,Active,B,10,Equity
INF204KB1TI8,RELIANCE CAPITAL BUILDER FUND IV - SERIES D - DIRECT GROWTH PLAN,,540898,RCBFIVDDG,Active,B,10,Equity
INF204KB1TH0,RELIANCE CAPITAL BUILDER FUND IV - SERIES D - DIVIDEND PLAN DIVIDEND,,540899,RCBFIVDD,Active,B,10,Equity
INE619B01017,Newgen Software Technologies Ltd,IT Consulting & Software,540900,NEWGEN,Active,B,10,Equity
INE546Y01022,Praxis Home Retail Ltd,Specialty Retail,540901,PRAXIS,Active,B,5,Equity
INE371P01015,Amber Enterprises India Ltd,Consumer Electronics,540902,AMBER,Active,B,10,Equity
INE422M01013,CRP Risk Management Ltd,Consulting Services,540903,CRPRISK,Active,M,10,Equity
INE115G01015,Tirupati Foam Ltd,Furniture-Furnishing-Paints,540904,TIRUFOAM,Active,X,10,Equity
INF204KB1TZ2,Reliance Fixed Horizon Fund - XXXV - Series 16 -  DIRECT PLAN DIVIDEND PAYOUT OPTION,,540905,RXXXVS16G,Active,F,10,MF
INF204KB1TY5,Reliance Fixed Horizon Fund - XXXV - Series 16 -  DIRECT PLAN GROWTH OPTION,,540906,RXXXVS16Z,Active,F,10,MF
INF204KB1TX7,Reliance Fixed Horizon Fund - XXXV - Series 16 -   DIVIDEND PAYOUT OPTION,,540907,RXXXVS16D,Active,F,10,MF
INF204KB1TW9,Reliance Fixed Horizon Fund - XXXV - Series 16 -  GROWTH OPTION,,540908,RXXXVS16X,Active,F,10,MF
INF200KA1SG9,SBI Debt Fund Series C - 8 (1175 Days) - Regular Plan - Growth,,540909,SDFSC8GR,Active,F,10,MF
INF200KA1SH7,SBI Debt Fund Series C - 8 (1175 Days) - Regular Plan - Dividend Payout,,540910,SDFSC8DR,Active,F,10,MF
INF200KA1SI5,SBI Debt Fund Series C - 8 (1175 Days) - Direct Plan - Growth,,540911,SDFSC8GD,Active,F,10,MF
INF200KA1SJ3,SBI Debt Fund Series C - 8 (1175 Days) - Direct Plan - Dividend Payout,,540912,SDFSC8DD,Active,F,10,MF
INF109KC1432,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G Cumulative,,540913,IPRU3039,Active,F,10,MF
INE425C01017,SRU Steels Ltd,Comm.Trading  & Distribution,540914,SRUSTEELS,Active,XT,10,Equity
INF109KC1457,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G Quarterly Dividend,,540915,IPRU3040,Active,F,10,MF
INF109KC1440,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G Half Yearly Dividend,,540916,IPRU3041,Active,F,10,MF
INF109KC1465,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G Direct Plan Cumulative,,540917,IPRU9241,Active,F,10,MF
INF109KC1473,ICICI Prudential Fixed Maturity Plan - Series 82 - 1223 Days Plan G Direct Plan Half Yearly Dividend,,540918,IPRU9243,Active,F,10,MF
INF174K019R1,KOTAK FMP SERIES 215- 1240 DAYS-REGULAR PLAN-GROWTH OPTION,,540919,KTKFMP215RG,Active,F,10,MF
INF174K010S8,KOTAK FMP SERIES 215- 1240 DAYS-REGULAR PLAN-DIVIDEND OPTION,,540920,KTKFMP215RD,Active,F,10,MF
INF174K011S6,KOTAK FMP SERIES 215- 1240 DAYS-DIRECT PLAN-GROWTH OPTION,,540921,KTKFMP215DG,Active,F,10,MF
INF174K012S4,KOTAK FMP SERIES 215- 1240 DAYS-DIRECT PLAN-DIVIDEND OPTION,,540922,KTKFMP215DD,Active,F,10,MF
INE760Y01011,Ashoka Metcast Ltd,Construction & Engineering,540923,AML,Active,M,10,Equity
INF740KA1DY1,DSP BlackRock FMP - Series 219 - 40M - Reg - Growth Mat Dt 28-Apr-2021,,540924,D40MS219RG,Active,F,10,MF
INF740KA1DZ8,DSP BlackRock FMP - Series 219 - 40M - Reg - Div - Reg Pay Mat Dt 28-Apr-2021,,540925,D40MS219RR,Active,F,10,MF
INF740KA1EA9,DSP BlackRock FMP - Series 219 - 40M - Reg - Div - Qtrly Pay Mat Dt 28-Apr-2021,,540926,D40MS219RQ,Active,F,10,MF
INF740KA1EB7,DSP BlackRock FMP - Series 219 - 40M - Dir - Growth Mat Dt 28-Apr-2021,,540927,D40MS219DG,Active,F,10,MF
INF740KA1EC5,DSP BlackRock FMP - Series 219 - 40M - Dir - Div - Reg Pay Mat Dt 28-Apr-2021,,540928,D40MS219DR,Active,F,10,MF
INF740KA1ED3,DSP BlackRock FMP - Series 219 - 40M - Dir - Div - Qtrly Pay Mat Dt 28-Apr-2021,,540929,D40MS219DQ,Active,F,10,MF
INF109KC1374,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Pan F - Cumulative Option,,540930,IPRU3036,Active,F,10,MF
INF109KC1390,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Pan F - Quartely Dividend Option,,540931,IPRU3037,Active,F,10,MF
INF109KC1382,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Pan F - Half Yearly Dividend  Option,,540932,IPRU3038,Active,F,10,MF
INF109KC1408,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Pan F - Direct Plan Cumulative Option,,540933,IPRU9238,Active,F,10,MF
INF109KC1424,ICICI Prudential Fixed Maturity Plan - Series 82 - 1187 Days Pan F - Direct Plan Quarterly Dividend,,540934,IPRU9239,Active,F,10,MF
INE600K01018,Galaxy Surfactants Ltd,Specialty Chemicals,540935,GALAXYSURF,Active,B,10,Equity
INE063Z01017,Gautam Gems Ltd,Comm.Trading  & Distribution,540936,GGL,Active,M,10,Equity
INE630Y01016,Medico Remedies Ltd,Pharmaceuticals,540937,MEDICO,Active,M,10,Equity
INE578V01013,Gujarat Hy-Spin Ltd,Textiles,540938,GUJHYSPIN,Active,M,10,Equity
INF109KC1499,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H - Cumulative Option,,540939,IPRU3042,Active,F,10,MF
INF109KC1515,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H - Quarterly Dividend Option,,540940,IPRU3043,Active,F,10,MF
INF109KC1507,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H - Half Yearly Dividend Option,,540941,IPRU3044,Active,F,10,MF
INF109KC1523,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H - Direct Plan Cumulative Option,,540942,IPRU9244,Active,F,10,MF
INF109KC1549,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H - Direct Plan Quarterly Dividen,,540943,IPRU9245,Active,F,10,MF
INF109KC1531,ICICI Prudential Fixed Maturity Plan - Series 82 - 1215 Days Plan H - Direct Plan Half Yearly,,540944,IPRU9246,Active,F,10,MF
INE180Z01019,Focus Suites Solutions & Services Ltd,Consulting Services,540945,FSSPL,Active,M,10,Equity
INF109KC1671,ICICI PRUDENTIAL FMP - SERIES 82 - 1185 DAYS - PLAN I - CUMULATIVE,,540946,IPRU3050,Active,F,10,MF
INF109KC1333,ICICI Prudential Value Fund - Series 20 - Cumulative Option,,540947,IPRU3034,Active,B,10,Equity
INF109KC1705,ICICI PRUDENTIAL FMP - SERIES 82 - 1185 DAYS - PLAN I - DIRECT PLAN- CUMULATIVE,,540948,IPRU9252,Active,F,10,MF
INF109KC1341,ICICI Prudential Value Fund - Series 20 - Dividend Option,,540949,IPRU3035,Active,B,10,Equity
INF109KC1358,ICICI Prudential Value Fund - Series 20 - Direct Plan Cumulative Option,,540950,IPRU9236,Active,B,10,Equity
INF109KC1366,ICICI Prudential Value Fund - Series 20 - Direct Plan Dividend Option,,540951,IPRU9237,Active,B,10,Equity
INE740X01015,Lorenzini Apparels Ltd,Other Apparels & Accessories,540952,LAL,Active,M,10,Equity
INE923Y01015,Kenvi Jewels Ltd,Other Apparels & Accessories,540953,KENVI,Active,M,10,Equity
INE586E01020,The Indian Wood Products Company Ltd,Forest Products,540954,IWP,Active,X,2,Equity
INE773Y01014,Tasty Dairy Specialities Ltd,Packaged Foods,540955,TDSL,Active,M,10,Equity
INE341Z01017,Bhatia Communications & Retail (India) Ltd,Specialty Retail,540956,BHATIA,Active,M,10,Equity
INF174K013S2,KOTAK FMP SERIES 216 - 1240 DAYS - REGULAR PLAN - GROWTH OPTION,,540957,KTKFMP216RG,Active,F,10,MF
INF174K014S0,KOTAK FMP SERIES 216 - 1240 DAYS - REGULAR PLAN - DIVIDEND OPTION,,540958,KTKFMP216RD,Active,F,10,MF
INF174K015S7,KOTAK FMP SERIES 216 - 1240 DAYS - DIRECT PLAN - GROWTH OPTION,,540959,KTKFMP216DG,Active,F,10,MF
INF174K016S5,KOTAK FMP SERIES 216 - 1240 DAYS - DIRECT PLAN - DIVIDEND OPTION,,540960,KTKFMP216DD,Active,F,10,MF
INE644Y01017,Shiva Mills Ltd,Textiles,540961,SHIVAMILLS,Active,B,10,Equity
INF204KB1UH8,RELIANCE FIXED HORIZON FUND - XXXVI - SR 1 - DIRECT PLAN DIVIDEND PAYOUT OPTION,,540962,RXXXVIS01G,Active,F,10,MF
INF204KB1UG0,RELIANCE FIXED HORIZON FUND - XXXVI - SR 1 - DIRECT PLAN GROWTH OPTION,,540963,RXXXVIS01Z,Active,F,10,MF
INF204KB1UF2,RELIANCE FIXED HORIZON FUND - XXXVI - SR 1 - DIVIDEND PAYOUT OPTION,,540964,RXXXVIS01D,Active,F,10,MF
INF204KB1UE5,RELIANCE FIXED HORIZON FUND - XXXVI - SR 1 - GROWTH OPTION,,540965,RXXXVIS01X,Active,F,10,MF
INF109KC1812,ICICI Prudential FMP - Series 82 - 1203 Days Plan K Cumulative,,540966,IPRU3053,Active,F,10,MF
INF109KC1838,ICICI Prudential FMP - Series 82 - 1203 Days Plan K Quarterly Dividend,,540967,IPRU3054,Active,F,10,MF
INF109KC1820,ICICI Prudential FMP - Series 82 - 1203 Days Plan K Half Yearly Dividend,,540968,IPRU3055,Active,F,10,MF
INF109KC1846,ICICI Prudential FMP - Series 82 - 1203 Days Plan K Direct Plan Cumulative,,540969,IPRU9255,Active,F,10,MF
INF109KC1861,ICICI Prudential FMP - Series 82 - 1203 Days Plan K Direct Plan Quarterly Dividend,,540970,IPRU9256,Active,F,10,MF
INF200KA1SK1,SBI Debt Fund Series C - 9 (1150D) - Regular Plan Growth,,540971,SDFSC9GR,Active,F,10,MF
INF200KA1SL9,SBI Debt Fund Series C - 9 (1150D) - Regular Plan Dividend Payout,,540972,SDFSC9DR,Active,F,10,MF
INF200KA1SM7,SBI Debt Fund Series C - 9 (1150D) - Direct Plan Growth,,540973,SDFSC9GD,Active,F,10,MF
INF200KA1SN5,SBI Debt Fund Series C - 9 (1150D) - Direct Plan Dividend Payout,,540974,SDFSC9DD,Active,F,10,MF
INE914M01019,Aster DM Healthcare Ltd,Healthcare Services,540975,ASTERDM,Active,B,10,Equity
INF740KA1EE1,DSP BlackRock FMP - Series 220 - 40 M - Regular Plan  - Growth Option,,540976,D40MS220RG,Active,F,10,MF
INF740KA1EF8,DSP BlackRock FMP - Series 220 - 40 M - Regular Plan  - Dividend Regular Payout Option,,540977,D40MS220RR,Active,F,10,MF
INF740KA1EG6,DSP BlackRock FMP - Series 220 - 40 M - Regular Plan  - Dividend Quarterly Payout Option,,540978,D40MS220RQ,Active,F,10,MF
INF740KA1EH4,DSP BlackRock FMP - Series 220 - 40 M - Direct Plan  - Growth Option,,540979,D40MS220DG,Active,F,10,MF
INE868X01014,The Yamuna Syndicate Ltd,Comm.Trading  & Distribution,540980,YSL,Active,XT,100,Equity
INF174K017S3,Kotak India Growth Fund   Series 4 - Regular Plan Growth Option,,540981,KTKIND4RG,Active,B,10,Equity
INF174K018S1,Kotak India Growth Fund   Series 4 - Regular Plan Dividend Option,,540982,KTKIND4RD,Active,B,10,Equity
INF174K010T6,KOTAK INDIA GROWTH FUND SERIES 4 DIRECT PLAN DIVIDEND OPTION,,540983,KTKIND4DD,Active,B,10,Equity
INF174K019S9,Kotak India Growth Fund   Series 4 - Direct Plan Growth Option,,540984,KTKIND4DG,Active,B,10,Equity
INF200KA1SO3,SBI Debt Fund Series C - 10 (1150 Days) Regular Plan  - Growth,,540985,SDFSC10GR,Active,F,10,MF
INF200KA1SP0,SBI Debt Fund Series C - 10 (1150 Days)  Regular Plan - Dividend Payout,,540986,SDFS10DR,Active,F,10,MF
INF200KA1SQ8,SBI Debt Fund Series C - 10 (1150 Days) Direct Plan - Growth,,540987,SDFSC10GD,Active,F,10,MF
INF200KA1SR6,SBI Debt Fund Series C - 10 (1150 Days) Direct Plan -Dividend Payout,,540988,SDFSC10DD,Active,F,10,MF
INF109KC1879,ICICI PRUDENTIAL FIXED MATURITY PLAN SR 82 - 1199 DAYS - PLAN L - CUMULATIVE,,540989,IPRU3056,Active,F,10,MF
INF109KC1887,ICICI PRUDENTIAL FIXED MATURITY PLAN SR 82 - 1199 DAYS - PLAN L - HALF YEARLY DIVIDEND OPTION,,540990,IPRU3058,Active,F,10,MF
INF109KC1903,ICICI PRUDENTIAL FIXED MATURITY PLAN SR 82 - 1199 DAYS - PLAN L - DIRECT PLAN CUMULATIVE OPTION,,540991,IPRU9258,Active,F,10,MF
